"Age_Group","Gender","Preferred_Media","Hours_Per_Week","Satisfaction","Meets_Expectations","Emotional_Engagement","Value_For_Time","Re_Watched","Revisit_Times","Prefer_Familiar_Content","Usual_Content_Type","Satisfaction_Score","Repeat_Viewer"
"Adult (30-44 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,4,4,"No","Once",3,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Male","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"No","Once",1,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","2-3 times",2,"Not Specified",5,"Yes"
"Adult (30-44 years)","Male","Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","2-3 times",2,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","2-3 times",4,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",1,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television","More than 10 hours",4,4,4,4,"Yes","2-3 times",1,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","6-10 hours",4,4,4,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,4,4,"Yes","2-3 times",4,"Not Specified",4.25,"Yes"
"Adult (30-44 years)","Male","YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,2,3,4,"Yes","More than 3 times",5,"Not Specified",3.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","More than 3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,3,3,"No","Once",1,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Television","Less than 2 hours",2,3,4,4,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",3,3,4,4,"Yes","Once",3,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",3,4,3,3,"Yes","Once",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Radio, Podcasts","2-5 hours",2,3,2,3,"No","Never",3,"Not Specified",2.5,"No"
"Senior (60 years and above)","Male","Television","2-5 hours",3,2,4,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",4,4,4,4,"Yes","Once",3,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",3,5,4,4,"Yes","Once",3,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube","6-10 hours",4,4,3,3,"Yes","More than 3 times",3,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Female","Television, Radio","6-10 hours",3,4,4,3,"Yes","2-3 times",3,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,3,3,"Yes","More than 3 times",4,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Female","Television, Radio","6-10 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","More than 3 times",1,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",3,3,3,3,"Yes","Once",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television","Less than 2 hours",3,4,3,3,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,3,2,"No","Never",3,"Not Specified",2.75,"No"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,2,4,"No","Never",1,"Not Specified",3,"No"
"Senior (60 years and above)","Male","Television","2-5 hours",3,3,3,3,"Yes","2-3 times",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","YouTube","2-5 hours",3,3,3,3,"Yes","Once",2,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",3,3,4,4,"Yes","2-3 times",3,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Podcasts, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,2,3,"Yes","2-3 times",3,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Female","Television","2-5 hours",3,3,3,4,"Yes","2-3 times",2,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,3,3,3,"Yes","2-3 times",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,5,5,"Yes","2-3 times",3,"Not Specified",4.25,"Yes"
"Senior (60 years and above)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",3,3,3,3,"Yes","2-3 times",3,"Not Specified",3,"Yes"
"Senior (60 years and above)","Male","Television, Radio","6-10 hours",3,4,4,3,"Yes","2-3 times",3,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",4,4,3,4,"Yes","2-3 times",3,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","YouTube, Podcasts","6-10 hours",4,3,4,4,"Yes","2-3 times",4,"Not Specified",3.75,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,5,4,"Yes","More than 3 times",4,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Male","Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","2-3 times",5,"Not Specified",5,"Yes"
"Teen (13-19 years)","Male","Television, Radio, Podcasts","6-10 hours",5,5,5,5,"Yes","Once",4,"Not Specified",5,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,4,4,"Yes","2-3 times",5,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,3,2,4,"Yes","2-3 times",4,"Not Specified",3.25,"Yes"
"Teen (13-19 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"No","Never",2,"Not Specified",5,"No"
"Teen (13-19 years)","Female","Television","Less than 2 hours",5,5,2,5,"No","Never",2,"Not Specified",4.25,"No"
"Teen (13-19 years)","Female","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"No","Never",1,"Not Specified",5,"No"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",5,"Not Specified",4,"Yes"
"Teen (13-19 years)","Female","Television, YouTube","6-10 hours",5,5,5,5,"Yes","2-3 times",4,"Not Specified",5,"Yes"
"Young Adult (20-29 years)","Male","Television, Radio, Podcasts","2-5 hours",5,5,5,5,"Yes","2-3 times",3,"Not Specified",5,"Yes"
"Young Adult (20-29 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","More than 3 times",5,"Not Specified",4,"Yes"
"Young Adult (20-29 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,3,3,"No","Never",2,"Not Specified",3.75,"No"
"Young Adult (20-29 years)","Female","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,4,3,3,"No","Never",1,"Not Specified",3.25,"No"
"Teen (13-19 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,5,5,4,"Yes","2-3 times",4,"Not Specified",4.5,"Yes"
"Senior (60 years and above)","Female","Television","2-5 hours",4,4,4,4,"Yes","Once",3,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","More than 3 times",4,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",3,4,4,3,"Yes","Once",4,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",4,3,4,4,"No","Never",3,"Not Specified",3.75,"No"
"Senior (60 years and above)","Female","Television","2-5 hours",4,4,3,4,"Yes","Once",4,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","YouTube","2-5 hours",3,3,3,4,"Yes","2-3 times",3,"Not Specified",3.25,"Yes"
"Senior (60 years and above)","Male","Television","2-5 hours",4,4,4,3,"No","Never",3,"Not Specified",3.75,"No"
"Senior (60 years and above)","Female","Television","Less than 2 hours",4,4,4,3,"Yes","2-3 times",3,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,3,3,"Yes","More than 3 times",1,"songs, news",3.5,"Yes"
"Adult (30-44 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,3,2,"No","Once",1,"Not Specified",3.25,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,3,"Yes","2-3 times",4,"Not Specified",3.75,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,2,"Yes","More than 3 times",3,"Not Specified",3.5,"Yes"
"Adult (30-44 years)","Female","Television, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"No","Once",1,"Not Specified",4,"Yes"
"Adult (30-44 years)","Female","Television, YouTube, Radio, Podcasts","More than 10 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Adult (30-44 years)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,4,4,"Yes","2-3 times",1,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",4,3,5,4,"Yes","Once",4,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",4,4,3,4,"No","Never",4,"Not Specified",3.75,"No"
"Senior (60 years and above)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,3,5,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Radio","6-10 hours",3,4,3,4,"Yes","2-3 times",4,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,3,4,4,"Yes","Once",4,"Not Specified",3.5,"Yes"
"Senior (60 years and above)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,4,5,4,"Yes","Once",4,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Radio","Less than 2 hours",4,4,3,4,"No","Never",3,"Not Specified",3.75,"No"
"Senior (60 years and above)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,3,4,"Yes","2-3 times",3,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","Television, Radio","2-5 hours",4,3,5,4,"No","Never",4,"Not Specified",4,"No"
"Senior (60 years and above)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,5,5,"Yes","2-3 times",3,"Not Specified",4.75,"Yes"
"Senior (60 years and above)","Male","Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,4,4,"No","2-3 times",4,"Not Specified",4.25,"Yes"
"Senior (60 years and above)","Male","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,4,4,4,"Yes","2-3 times",4,"Not Specified",3.75,"Yes"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,4,5,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Senior (60 years and above)","Male","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,5,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,4,3,"Yes","2-3 times",3,"Not Specified",4,"Yes"
"Senior (60 years and above)","Male","Television, Streaming Platforms (Netflix, Amazon Prime etc.)","6-10 hours",3,2,3,3,"Yes","2-3 times",3,"Not Specified",2.75,"Yes"
"Senior (60 years and above)","Male","Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,4,4,4,"No","Never",1,"Not Specified",4.25,"No"
"Senior (60 years and above)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","6-10 hours",5,5,4,3,"Yes","Once",3,"Not Specified",4.25,"Yes"
"Senior (60 years and above)","Male","Television, Podcasts","6-10 hours",4,2,4,4,"No","Never",3,"Not Specified",3.5,"No"
"Senior (60 years and above)","Male","Television, Podcasts","6-10 hours",4,3,2,4,"Yes","2-3 times",4,"Not Specified",3.25,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,4,"Yes","More than 3 times",5,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Female","Television, Radio, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,4,5,4,"No","Never",2,"Not Specified",4.25,"No"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,4,5,4,"Yes","More than 3 times",5,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Female","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",4,5,5,5,"Yes","2-3 times",4,"Not Specified",4.75,"Yes"
"Teen (13-19 years)","Male","Podcasts","More than 10 hours",4,5,4,4,"Yes","Once",4,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,5,5,"No","Never",4,"Not Specified",4.75,"No"
"Teen (13-19 years)","Male","Podcasts","6-10 hours",4,4,4,4,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,5,4,5,"Yes","2-3 times",4,"Not Specified",4.5,"Yes"
"Teen (13-19 years)","Male","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,5,"No","Never",4,"Not Specified",4.5,"No"
"Teen (13-19 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","Less than 2 hours",5,4,5,4,"Yes","More than 3 times",4,"Not Specified",4.5,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",4,5,4,5,"Yes","More than 3 times",5,"Not Specified",4.5,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,5,4,"No","Never",4,"Not Specified",4.5,"No"
"Teen (13-19 years)","Female","Television, YouTube, Podcasts","6-10 hours",5,5,5,5,"Yes","2-3 times",4,"Not Specified",5,"Yes"
"Teen (13-19 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",2,3,2,3,"Yes","2-3 times",4,"Not Specified",2.5,"Yes"
"Teen (13-19 years)","Female","Television, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",2,4,2,3,"No","2-3 times",5,"Not Specified",2.75,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Radio, Podcasts","6-10 hours",4,5,4,5,"Yes","2-3 times",4,"Not Specified",4.5,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,5,4,"Yes","2-3 times",5,"Not Specified",4.5,"Yes"
"Teen (13-19 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,5,"Yes","Once",4,"Not Specified",4.5,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","2-5 hours",3,5,5,4,"Yes","2-3 times",4,"Not Specified",4.25,"Yes"
"Teen (13-19 years)","Male","Television, YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,5,5,4,"No","2-3 times",4,"Not Specified",4.75,"Yes"
"Teen (13-19 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"No","Never",3,"Not Specified",5,"No"
"Teen (13-19 years)","Female","Television, YouTube, Radio, Podcasts","6-10 hours",4,2,5,2,"Yes","2-3 times",5,"Not Specified",3.25,"Yes"
"Young Adult (20-29 years)","Female","Television, YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,3,5,"Yes","More than 3 times",4,"Not Specified",4.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","More than 3 times",5,"Not Specified",5,"Yes"
"Young Adult (20-29 years)","Male","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.)","2-5 hours",4,3,4,4,"No","Never",2,"Not Specified",3.75,"No"
"Young Adult (20-29 years)","Female","Television","2-5 hours",5,4,4,4,"No","Never",3,"Not Specified",4.25,"No"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,5,5,"Yes","Once",2,"Not Specified",4.75,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,5,"Yes","More than 3 times",4,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,5,4,5,"Yes","2-3 times",5,"Not Specified",4.75,"Yes"
"Young Adult (20-29 years)","Female","Television, Radio, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,5,4,"Yes","More than 3 times",4,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Male","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,3,3,3,"Yes","More than 3 times",4,"Not Specified",3.5,"Yes"
"Young Adult (20-29 years)","Female","Television, Podcasts","6-10 hours",5,4,3,5,"No","Never",2,"Not Specified",4.25,"No"
"Young Adult (20-29 years)","Female","Television, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,2,5,2,"Yes","Once",3,"Not Specified",3.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Radio, Podcasts","6-10 hours",4,2,4,3,"No","Never",1,"Not Specified",3.25,"No"
"Young Adult (20-29 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,5,5,5,"Yes","Once",4,"Not Specified",5,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,5,3,"No","Never",1,"Not Specified",4.25,"No"
"Young Adult (20-29 years)","Female","YouTube, Radio, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,5,4,"Yes","2-3 times",4,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Female","Television, Radio, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,4,5,"Yes","2-3 times",4,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,4,5,4,"Yes","Once",3,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Male","YouTube","2-5 hours",2,3,2,1,"No","Never",1,"Not Specified",2,"No"
"Young Adult (20-29 years)","Male","Television, YouTube, Radio, Podcasts","2-5 hours",3,4,2,4,"Yes","Once",1,"Not Specified",3.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","6-10 hours",4,5,4,3,"Yes","2-3 times",4,"Not Specified",4,"Yes"
"Young Adult (20-29 years)","Male","Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",2,4,3,2,"No","Never",1,"Not Specified",2.75,"No"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",5,4,5,3,"Yes","Once",2,"Not Specified",4.25,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","6-10 hours",3,4,2,4,"No","2-3 times",4,"Not Specified",3.25,"Yes"
"Teen (13-19 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","More than 10 hours",5,3,4,4,"No","Never",1,"Not Specified",4,"No"
"Teen (13-19 years)","Female","YouTube, Podcasts, Social Media (Tiktok, Facebook, Instagram)","6-10 hours",4,5,4,5,"No","2-3 times",4,"Not Specified",4.5,"Yes"
"Young Adult (20-29 years)","Female","YouTube, Social Media (Tiktok, Facebook, Instagram)","2-5 hours",5,4,3,4,"No","Never",1,"Not Specified",4,"No"
"Teen (13-19 years)","Female","Streaming Platforms (Netflix, Amazon Prime etc.), Social Media (Tiktok, Facebook, Instagram)","6-10 hours",3,4,3,3,"Yes","Once",2,"Not Specified",3.25,"Yes"
"Young Adult (20-29 years)","Male","Television, YouTube, Podcasts","6-10 hours",4,5,4,3,"Yes","2-3 times",4,"International movies",4,"Yes"
"Young Adult (20-29 years)","Male","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Podcasts","6-10 hours",3,4,5,4,"Yes","Once",2,"Not Specified",4,"Yes"
"Young Adult (20-29 years)","Female","Television, YouTube, Streaming Platforms (Netflix, Amazon Prime etc.), Radio","More than 10 hours",5,3,5,4,"No","Never",2,"Not Specified",4.25,"No"
